payment_id,amount,failure_reason,baseline_recovered,baseline_attempts,recoup_recovered,recoup_attempts,first_action,first_timing,first_probability,second_action,second_timing,second_probability,final_outcome
PAY_015169,3544.8,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.74114737634269,NUDGE,24,0.6555831345197916,RECOVERED
PAY_017799,3251.2,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,1,0.6820031726703047,,0,0.0,RECOVERED
PAY_012679,4675.31,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,48,0.7541798080564854,,0,0.0,RECOVERED
PAY_003866,5531.47,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6576961664825329,,0,0.0,RECOVERED
PAY_012440,1293.29,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.8298118427753951,,0,0.0,RECOVERED
PAY_003547,4731.13,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.3951982898901234,PAYMENT_LINK,24,0.3524140548157229,NOT_RECOVERED
PAY_006884,1302.15,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.821264922846743,,0,0.0,RECOVERED
PAY_015156,2954.38,MANDATE_FAILURE,False,2,True,2,PAYMENT_LINK,1,0.65876539552296,PAYMENT_LINK,24,0.6487422556484671,RECOVERED
PAY_018685,1113.75,MANDATE_FAILURE,False,2,False,2,PAYMENT_LINK,24,0.6969463278977373,PAYMENT_LINK,48,0.6848108301987462,NOT_RECOVERED
PAY_012678,4375.34,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,48,0.7645539581050325,,0,0.0,RECOVERED
PAY_014188,3373.94,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.7475138160712979,NUDGE,24,0.6706393836135027,RECOVERED
PAY_004973,2547.39,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6504358188533115,,0,0.0,RECOVERED
PAY_006103,1001.48,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.8607011417755408,,0,0.0,RECOVERED
PAY_011551,1265.07,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7502503671016982,,0,0.0,RECOVERED
PAY_003119,4147.88,UNKNOWN,False,2,True,1,PAYMENT_LINK,24,0.4296738079491401,,0,0.0,RECOVERED
PAY_000229,3574.78,BANK_ERROR,False,2,False,2,SMART_RETRY,24,0.8585903500673838,SMART_RETRY,48,0.753725674002726,NOT_RECOVERED
PAY_004225,1011.96,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.3722628288481053,PAYMENT_LINK,48,0.34847247652392305,NOT_RECOVERED
PAY_006773,500.38,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6064534396067425,,0,0.0,RECOVERED
PAY_010883,634.41,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,48,0.6032940190508664,,0,0.0,RECOVERED
PAY_013503,2658.82,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.7611756697296431,NUDGE,24,0.7036374048029562,RECOVERED
PAY_010511,1510.29,UNKNOWN,False,2,False,1,PAYMENT_LINK,48,0.3710579433409459,,0,0.0,STOP
PAY_005513,2564.83,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8354566034224411,,0,0.0,RECOVERED
PAY_015571,2255.53,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,48,0.6436935432068828,,0,0.0,RECOVERED
PAY_011309,3667.7,UNKNOWN,False,2,False,2,PAYMENT_LINK,24,0.30355904871087175,PAYMENT_LINK,48,0.2540997701376852,NOT_RECOVERED
PAY_012406,994.51,MANDATE_FAILURE,False,2,False,2,PAYMENT_LINK,24,0.6372199789017323,PAYMENT_LINK,48,0.7052881092936575,NOT_RECOVERED
PAY_002054,1371.73,UNKNOWN,True,1,True,1,PAYMENT_LINK,24,0.3425962403276308,,0,0.0,RECOVERED
PAY_018683,1031.2,UNKNOWN,False,2,True,1,NUDGE,1,0.3668551965650796,,0,0.0,RECOVERED
PAY_019320,467.99,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8321462113922309,,0,0.0,RECOVERED
PAY_001406,2944.97,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8023680340192842,,0,0.0,RECOVERED
PAY_000717,5094.47,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6623530896903719,,0,0.0,RECOVERED
PAY_004220,3843.43,INSUFFICIENT_FUNDS,False,2,False,1,NUDGE,48,0.7411700229814709,,0,0.0,STOP
PAY_005609,2588.89,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,1,0.7528951942524279,,0,0.0,RECOVERED
PAY_018514,4480.11,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.8396596311414695,,0,0.0,RECOVERED
PAY_008540,1334.21,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6977660434164734,,0,0.0,RECOVERED
PAY_006553,1285.45,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6577496804303342,,0,0.0,RECOVERED
PAY_018015,3931.54,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8376607439435153,,0,0.0,RECOVERED
PAY_009249,2512.6,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,24,0.7192354348891135,,0,0.0,RECOVERED
PAY_014087,738.96,BANK_ERROR,True,1,True,2,SMART_RETRY,24,0.8052871554286256,SMART_RETRY,48,0.7525584341490719,RECOVERED
PAY_007842,2165.38,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.820505702057655,,0,0.0,RECOVERED
PAY_002410,2559.64,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,1,0.7609146241886592,,0,0.0,RECOVERED
PAY_004758,5465.71,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.7503727990408652,,0,0.0,RECOVERED
PAY_012920,4177.83,UNKNOWN,False,2,False,1,PAYMENT_LINK,48,0.41725427134192516,,0,0.0,STOP
PAY_013949,3704.65,BANK_ERROR,True,1,True,1,SMART_RETRY,48,0.797170751406093,,0,0.0,RECOVERED
PAY_017977,5128.63,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,24,0.6721782656739771,,0,0.0,RECOVERED
PAY_011984,951.67,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.49245826145075466,PAYMENT_LINK,48,0.3630634489444582,NOT_RECOVERED
PAY_017159,3182.58,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.774735623016792,,0,0.0,RECOVERED
PAY_012681,1356.12,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.675250727371849,,0,0.0,RECOVERED
PAY_008878,2321.22,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,24,0.7363545889778438,,0,0.0,RECOVERED
PAY_018652,5309.75,UNKNOWN,False,2,True,1,PAYMENT_LINK,1,0.4024314824417376,,0,0.0,RECOVERED
PAY_015677,4083.69,UNKNOWN,False,2,True,1,SMART_RETRY,24,0.4579285889121434,,0,0.0,RECOVERED
PAY_017064,789.25,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,24,0.7482565856011715,,0,0.0,RECOVERED
PAY_016994,2630.5,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,48,0.7192502873839044,,0,0.0,RECOVERED
PAY_007901,2072.28,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,1,0.784430902104867,,0,0.0,RECOVERED
PAY_008361,2278.25,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.3911567781265626,PAYMENT_LINK,12,0.36219909791775934,NOT_RECOVERED
PAY_000040,873.77,UNKNOWN,True,2,True,2,PAYMENT_LINK,24,0.39566206501474244,PAYMENT_LINK,48,0.30409247311009385,RECOVERED
PAY_014910,3588.88,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.7588068609996702,,0,0.0,RECOVERED
PAY_011069,1484.21,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.35154998991346964,PAYMENT_LINK,48,0.3261024844732921,NOT_RECOVERED
PAY_008306,1245.86,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6954971492995091,,0,0.0,RECOVERED
PAY_015374,1221.88,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,48,0.6943015192818649,,0,0.0,RECOVERED
PAY_004908,2361.41,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.34844850239922365,PAYMENT_LINK,48,0.30294846502013384,NOT_RECOVERED
PAY_017966,5200.92,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.6570401154700618,NUDGE,24,0.6555443214507578,RECOVERED
PAY_011459,5180.32,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8114622942965855,,0,0.0,RECOVERED
PAY_005424,3540.96,UNKNOWN,False,2,True,1,PAYMENT_LINK,24,0.3614668665064235,,0,0.0,RECOVERED
PAY_003693,2141.09,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,48,0.7619126290652893,,0,0.0,RECOVERED
PAY_015078,710.89,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8474626773372619,,0,0.0,RECOVERED
PAY_008183,5014.38,UNKNOWN,True,1,True,2,PAYMENT_LINK,1,0.3598380596157693,NUDGE,48,0.35029535617304913,RECOVERED
PAY_010959,1466.15,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8409408016514206,,0,0.0,RECOVERED
PAY_008998,3788.03,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.7705072756871229,NUDGE,24,0.7001276905272897,RECOVERED
PAY_011159,2729.01,UNKNOWN,False,2,True,1,PAYMENT_LINK,24,0.37940615294753294,,0,0.0,RECOVERED
PAY_008494,2405.23,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.7914078206620754,,0,0.0,RECOVERED
PAY_013839,2540.27,UNKNOWN,True,1,False,2,PAYMENT_LINK,24,0.38327174117834245,NUDGE,48,0.2973259259165758,NOT_RECOVERED
PAY_008302,1438.33,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,24,0.7109329398411353,,0,0.0,RECOVERED
PAY_003612,4461.01,UNKNOWN,False,2,True,2,SMART_RETRY,1,0.3174778773918472,NUDGE,24,0.3142382493215915,RECOVERED
PAY_008624,1638.22,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,1,0.7426421556613598,,0,0.0,RECOVERED
PAY_009098,4476.6,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.3569756363244004,PAYMENT_LINK,12,0.2701977890151365,NOT_RECOVERED
PAY_001989,5195.66,UNKNOWN,False,2,False,1,SMART_RETRY,48,0.37134676769533825,,0,0.0,STOP
PAY_011731,4920.31,UNKNOWN,False,2,True,1,NUDGE,1,0.4069305958314583,,0,0.0,RECOVERED
PAY_010035,4853.89,UNKNOWN,False,2,False,2,PAYMENT_LINK,24,0.38059551446869505,PAYMENT_LINK,48,0.314541809195494,NOT_RECOVERED
PAY_005566,557.26,INSUFFICIENT_FUNDS,False,2,False,2,NUDGE,1,0.7615215890594694,NUDGE,12,0.6499832038187604,NOT_RECOVERED
PAY_014652,2201.91,MANDATE_FAILURE,False,2,True,2,PAYMENT_LINK,1,0.6680845980588986,PAYMENT_LINK,48,0.6418611254150687,RECOVERED
PAY_014225,1067.23,UNKNOWN,False,2,False,2,PAYMENT_LINK,1,0.3632024691214885,PAYMENT_LINK,48,0.3313395850344579,NOT_RECOVERED
PAY_000088,4092.14,MANDATE_FAILURE,False,2,True,2,PAYMENT_LINK,1,0.68769787200918,PAYMENT_LINK,48,0.5962865141893635,RECOVERED
PAY_011848,1742.07,MANDATE_FAILURE,False,2,False,2,PAYMENT_LINK,24,0.6842798411943893,PAYMENT_LINK,48,0.6094843061588755,NOT_RECOVERED
PAY_001362,1923.94,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6647675909027844,,0,0.0,RECOVERED
PAY_007036,4491.17,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7219704831013364,,0,0.0,RECOVERED
PAY_005390,4365.0,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.667326017289757,,0,0.0,RECOVERED
PAY_015588,2007.95,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.779853515414505,,0,0.0,RECOVERED
PAY_010560,2308.77,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.671706789573541,,0,0.0,RECOVERED
PAY_003405,4460.63,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8214980498138573,,0,0.0,RECOVERED
PAY_013958,3739.25,UNKNOWN,False,2,True,1,NUDGE,1,0.35185774669198977,,0,0.0,RECOVERED
PAY_016360,2586.38,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7422533501576031,,0,0.0,RECOVERED
PAY_011861,270.24,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.8178560505443367,,0,0.0,RECOVERED
PAY_017831,3976.45,BANK_ERROR,True,1,True,1,SMART_RETRY,48,0.8195995394895712,,0,0.0,RECOVERED
PAY_009514,3013.34,MANDATE_FAILURE,False,2,False,2,PAYMENT_LINK,1,0.7048222510874915,PAYMENT_LINK,24,0.6468072262397072,NOT_RECOVERED
PAY_011809,791.45,MANDATE_FAILURE,False,2,True,2,PAYMENT_LINK,1,0.6719595221986946,PAYMENT_LINK,48,0.6147534797816526,RECOVERED
PAY_016085,3814.5,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.7850916085901976,,0,0.0,RECOVERED
PAY_003168,351.58,BANK_ERROR,False,2,True,1,SMART_RETRY,24,0.8164721524808891,,0,0.0,RECOVERED
PAY_001143,1426.5,BANK_ERROR,True,2,True,1,SMART_RETRY,24,0.8588694156572108,,0,0.0,RECOVERED
PAY_017597,3459.93,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.7100386598213901,NUDGE,24,0.656741463479974,RECOVERED
PAY_015687,1536.06,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.658585681771071,,0,0.0,RECOVERED
PAY_018870,1181.78,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,1,0.7184110715611667,,0,0.0,RECOVERED
PAY_007178,3664.05,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7615684246939703,,0,0.0,RECOVERED
PAY_017325,4137.93,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,48,0.7797510315178493,,0,0.0,RECOVERED
PAY_000832,630.68,UNKNOWN,False,2,False,2,PAYMENT_LINK,24,0.3216193625294757,NUDGE,48,0.3092097797466918,NOT_RECOVERED
PAY_009126,1896.49,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,24,0.6772516817708748,,0,0.0,RECOVERED
PAY_018095,3509.53,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7471705787238685,,0,0.0,RECOVERED
PAY_010891,673.29,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.845412177612317,,0,0.0,RECOVERED
PAY_013896,659.34,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.5920148579455914,,0,0.0,RECOVERED
PAY_009678,850.11,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,24,0.737572814055847,,0,0.0,RECOVERED
PAY_007692,2689.68,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,1,0.7248909703491587,,0,0.0,RECOVERED
PAY_019502,4336.97,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,1,0.6826699263925962,,0,0.0,RECOVERED
PAY_007657,1004.79,BANK_ERROR,True,1,False,1,SMART_RETRY,48,0.8024964526246328,,0,0.0,STOP
PAY_009043,1037.94,BANK_ERROR,False,2,True,1,SMART_RETRY,1,0.8451526344288907,,0,0.0,RECOVERED
PAY_010870,4170.34,MANDATE_FAILURE,False,2,True,2,PAYMENT_LINK,1,0.6639038940878557,PAYMENT_LINK,48,0.5717482982432838,RECOVERED
PAY_005490,1569.17,BANK_ERROR,False,2,True,1,SMART_RETRY,24,0.8447643742621849,,0,0.0,RECOVERED
PAY_000679,4300.93,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.7852816813286158,,0,0.0,RECOVERED
PAY_006202,4712.39,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.7502602134758928,NUDGE,24,0.7205759970738289,RECOVERED
PAY_006355,3157.48,MANDATE_FAILURE,False,2,False,2,PAYMENT_LINK,1,0.7093629302053518,PAYMENT_LINK,24,0.6715880526963593,NOT_RECOVERED
PAY_008402,3182.41,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8494167393430883,,0,0.0,RECOVERED
PAY_009614,1750.37,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,48,0.638064559241484,,0,0.0,RECOVERED
PAY_012581,2191.74,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6711504903910489,,0,0.0,RECOVERED
PAY_005647,2887.77,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6546530101542817,,0,0.0,RECOVERED
PAY_006191,3318.99,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6959685743748691,,0,0.0,RECOVERED
PAY_012842,2924.47,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,24,0.7569406660938062,,0,0.0,RECOVERED
PAY_001154,1244.59,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.8488080486476881,,0,0.0,RECOVERED
PAY_010471,3808.97,INSUFFICIENT_FUNDS,False,2,True,1,SMART_RETRY,1,0.72195004067243,,0,0.0,RECOVERED
PAY_003151,3886.67,MANDATE_FAILURE,False,2,True,2,PAYMENT_LINK,24,0.6850782962859039,PAYMENT_LINK,48,0.5975407875006454,RECOVERED
PAY_004540,1215.02,MANDATE_FAILURE,False,2,False,2,PAYMENT_LINK,24,0.6086276558707929,PAYMENT_LINK,48,0.5510392770467508,NOT_RECOVERED
PAY_018927,2843.13,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,48,0.7311599362916925,,0,0.0,RECOVERED
PAY_006838,2932.4,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7291771237589713,,0,0.0,RECOVERED
PAY_011262,3505.03,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6608458085673835,,0,0.0,RECOVERED
PAY_009158,3131.37,BANK_ERROR,False,2,True,1,SMART_RETRY,1,0.8351127162381187,,0,0.0,RECOVERED
PAY_005063,2665.17,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.648552626393582,,0,0.0,RECOVERED
PAY_000743,2473.36,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,1,0.736504261217805,,0,0.0,RECOVERED
PAY_011268,3151.69,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7028919213983503,,0,0.0,RECOVERED
PAY_005034,747.61,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6394743606477049,,0,0.0,RECOVERED
PAY_004606,3579.09,BANK_ERROR,False,2,True,1,SMART_RETRY,24,0.8149049095616709,,0,0.0,RECOVERED
PAY_006587,4042.99,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7416805085917814,,0,0.0,RECOVERED
PAY_004439,890.62,BANK_ERROR,True,1,True,2,SMART_RETRY,24,0.8520829187453094,SMART_RETRY,48,0.8014226849063507,RECOVERED
PAY_016727,3828.33,UNKNOWN,False,2,True,1,PAYMENT_LINK,24,0.39997299290526384,,0,0.0,RECOVERED
PAY_018002,4221.55,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,48,0.7575016901101326,,0,0.0,RECOVERED
PAY_015191,4091.9,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6739294809083831,,0,0.0,RECOVERED
PAY_009768,3296.71,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.68906906001376,,0,0.0,RECOVERED
PAY_002950,3405.75,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6291283897951874,,0,0.0,RECOVERED
PAY_006896,1203.14,BANK_ERROR,False,2,True,1,SMART_RETRY,24,0.8218409513774111,,0,0.0,RECOVERED
PAY_005847,699.01,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,48,0.6632411375703826,,0,0.0,RECOVERED
PAY_009894,3958.83,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8325215075459836,,0,0.0,RECOVERED
PAY_001208,3671.02,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,1,0.7588261936972752,,0,0.0,RECOVERED
PAY_010043,3331.66,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6846619155748641,,0,0.0,RECOVERED
PAY_008450,2127.4,BANK_ERROR,True,1,True,1,SMART_RETRY,24,0.8251873975151973,,0,0.0,RECOVERED
PAY_001258,2069.71,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7533303798112346,,0,0.0,RECOVERED
PAY_003695,2050.97,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,48,0.7525768821312943,,0,0.0,RECOVERED
PAY_011700,632.6,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,48,0.7596536215519437,,0,0.0,RECOVERED
PAY_004229,984.17,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6892109347258706,,0,0.0,RECOVERED
PAY_015039,1096.98,UNKNOWN,False,2,True,2,SMART_RETRY,1,0.38931986962184434,SMART_RETRY,24,0.3101231792595417,RECOVERED
PAY_015718,2913.77,UNKNOWN,False,2,True,1,SMART_RETRY,12,0.29216009277016247,,0,0.0,RECOVERED
PAY_010168,1651.11,UNKNOWN,False,2,True,1,NUDGE,1,0.3870990470067938,,0,0.0,RECOVERED
PAY_001097,3644.46,UNKNOWN,False,2,True,1,PAYMENT_LINK,24,0.3337576250237281,,0,0.0,RECOVERED
PAY_014852,1431.34,MANDATE_FAILURE,True,1,True,1,PAYMENT_LINK,1,0.6469723353144827,,0,0.0,RECOVERED
PAY_004275,3740.85,UNKNOWN,False,2,True,2,PAYMENT_LINK,1,0.3510453928331428,PAYMENT_LINK,24,0.3291237120412965,RECOVERED
PAY_018359,573.93,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6232164889447113,,0,0.0,RECOVERED
PAY_018748,1765.71,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,24,0.7358549309158673,,0,0.0,RECOVERED
PAY_000348,1526.74,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,1,0.6558692882382904,,0,0.0,RECOVERED
PAY_015205,3919.99,INSUFFICIENT_FUNDS,False,2,True,1,NUDGE,1,0.7219732543979299,,0,0.0,RECOVERED
PAY_011638,4122.78,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,1,0.7453264341005936,,0,0.0,RECOVERED
PAY_015004,935.16,MANDATE_FAILURE,False,2,True,2,PAYMENT_LINK,1,0.647507568527199,PAYMENT_LINK,48,0.5707130567937656,RECOVERED
PAY_011975,1700.78,BANK_ERROR,False,2,True,1,SMART_RETRY,24,0.8361818240392782,,0,0.0,RECOVERED
PAY_018792,3769.68,UNKNOWN,False,2,True,1,PAYMENT_LINK,48,0.39157714471985267,,0,0.0,RECOVERED
PAY_007194,1527.0,UNKNOWN,False,2,True,1,NUDGE,1,0.3279345003498663,,0,0.0,RECOVERED
PAY_017188,1543.69,MANDATE_FAILURE,False,2,True,1,PAYMENT_LINK,24,0.6835717470083946,,0,0.0,RECOVERED
PAY_003770,836.4,BANK_ERROR,True,1,True,1,SMART_RETRY,1,0.8318234341310713,,0,0.0,RECOVERED
PAY_009186,2001.65,INSUFFICIENT_FUNDS,True,1,True,1,NUDGE,1,0.7491882582482629,,0,0.0,RECOVERED
PAY_000147,2779.99,INSUFFICIENT_FUNDS,False,2,True,2,NUDGE,1,0.7633105922034759,NUDGE,24,0.6861002579343188,RECOVERED
PAY_001358,1544.52,INSUFFICIENT_FUNDS,True,2,True,1,NUDGE,48,0.7734450795166476,,0,0.0,RECOVERED
PAY_007624,1083.0,BANK_ERROR,True,1,False,1,SMART_RETRY,48,0.8072202085964127,,0,0.0,STOP
PAY_018182,340.26,UNKNOWN,True,1,False,2,PAYMENT_LINK,1,0.34158142461297003,PAYMENT_LINK,48,0.34135082605521694,NOT_RECOVERED
