customer_id,avg_payment_amount,payment_frequency,preferred_method,preferred_payment_day,preferred_weekday,payment_day_variance,typical_payment_hour,successful_payments,failed_payments
CUST_00126,1996.14,biweekly,UPI,23,4,0,12,18,2
CUST_00127,513.92,weekly,NETBANKING,23,1,2,21,17,3
CUST_00128,3838.12,weekly,UPI,19,2,1,15,17,3
CUST_00129,2370.2,weekly,UPI,9,6,1,9,19,1
CUST_00130,4163.94,biweekly,WALLET,3,4,2,18,16,4
CUST_00131,551.96,weekly,NETBANKING,3,1,0,16,17,3
CUST_00132,3892.88,monthly,CARD,25,4,1,15,18,2
CUST_00133,4569.97,biweekly,WALLET,10,4,2,8,16,4
CUST_00134,3165.27,monthly,UPI,25,1,2,11,17,3
CUST_00135,1543.84,weekly,CARD,8,1,2,9,19,1
CUST_00136,1035.7,biweekly,WALLET,23,4,1,12,19,1
CUST_00137,453.41,biweekly,NETBANKING,23,6,1,9,18,2
CUST_00138,3530.71,biweekly,CARD,14,0,2,11,17,3
CUST_00139,3343.88,biweekly,CARD,3,0,0,20,15,5
CUST_00140,1745.78,monthly,NETBANKING,15,0,1,19,17,3
CUST_00141,1729.23,biweekly,NETBANKING,17,4,1,15,20,0
CUST_00142,678.08,weekly,WALLET,24,2,2,12,15,5
CUST_00143,421.56,weekly,UPI,25,5,1,17,18,2
CUST_00144,489.09,weekly,WALLET,17,5,1,12,16,4
CUST_00145,1153.0,monthly,WALLET,21,6,1,9,15,5
CUST_00146,2509.05,biweekly,NETBANKING,11,5,0,21,18,2
CUST_00147,1055.88,biweekly,WALLET,10,5,1,21,18,2
CUST_00148,3874.35,weekly,WALLET,3,2,1,13,18,2
CUST_00149,844.83,biweekly,UPI,22,6,2,15,19,1
CUST_00150,2242.26,weekly,NETBANKING,20,6,1,18,17,3
CUST_00151,2377.59,weekly,CARD,9,4,0,12,18,2
CUST_00152,2359.15,monthly,WALLET,4,0,2,17,15,5
CUST_00153,4056.77,monthly,CARD,10,4,0,16,19,1
CUST_00154,2217.56,weekly,UPI,15,0,2,21,19,1
CUST_00155,1023.66,monthly,NETBANKING,17,5,1,14,20,0
CUST_00156,4223.2,biweekly,CARD,15,4,0,14,18,2
CUST_00157,1195.87,monthly,CARD,28,0,1,20,16,4
CUST_00158,4013.03,biweekly,NETBANKING,26,4,1,21,18,2
CUST_00159,312.06,monthly,NETBANKING,27,4,2,18,17,3
CUST_00160,2601.31,weekly,WALLET,18,3,1,13,17,3
CUST_00161,2894.01,monthly,WALLET,15,2,0,19,17,3
CUST_00162,1422.39,biweekly,CARD,28,6,1,8,16,4
CUST_00163,1795.43,biweekly,WALLET,13,5,2,10,17,3
CUST_00164,2628.04,weekly,CARD,17,4,1,21,19,1
CUST_00165,771.71,biweekly,UPI,17,3,0,19,18,2
CUST_00166,977.53,monthly,CARD,3,3,1,13,19,1
CUST_00167,3229.32,biweekly,UPI,28,2,2,21,19,1
CUST_00168,2808.02,biweekly,WALLET,28,4,0,17,13,7
CUST_00169,621.58,monthly,NETBANKING,8,5,0,14,18,2
CUST_00170,4898.19,monthly,UPI,15,1,2,12,20,0
CUST_00171,4546.09,weekly,NETBANKING,26,0,1,13,17,3
CUST_00172,2061.75,weekly,CARD,17,3,2,18,17,3
CUST_00173,4024.84,weekly,CARD,3,4,1,17,17,3
CUST_00174,3510.73,biweekly,CARD,8,3,2,12,18,2
CUST_00175,2459.98,monthly,UPI,26,3,1,18,15,5
CUST_00176,2869.01,weekly,WALLET,12,4,1,18,19,1
CUST_00177,4821.54,monthly,NETBANKING,15,6,1,11,15,5
CUST_00178,4997.06,biweekly,UPI,8,3,2,13,13,7
CUST_00179,3001.62,monthly,NETBANKING,1,6,2,14,16,4
CUST_00180,1590.06,monthly,UPI,20,5,1,21,17,3
CUST_00181,4549.53,biweekly,CARD,20,6,1,11,18,2
CUST_00182,3292.1,monthly,NETBANKING,22,6,2,20,16,4
CUST_00183,3398.15,weekly,UPI,21,5,0,12,19,1
CUST_00184,4006.47,weekly,NETBANKING,24,1,0,12,17,3
CUST_00185,1835.58,biweekly,CARD,7,1,2,13,16,4
CUST_00186,2795.01,biweekly,CARD,9,6,1,20,18,2
CUST_00187,1687.16,biweekly,UPI,15,0,0,20,16,4
CUST_00188,4842.55,monthly,WALLET,28,6,2,13,16,4
CUST_00189,724.42,biweekly,UPI,9,4,0,15,17,3
CUST_00190,2032.35,monthly,NETBANKING,19,3,2,13,17,3
CUST_00191,809.23,weekly,WALLET,1,4,2,13,17,3
CUST_00192,4601.7,weekly,UPI,21,6,1,19,18,2
CUST_00193,1720.29,biweekly,UPI,5,0,0,12,18,2
CUST_00194,4980.86,weekly,UPI,8,4,0,14,18,2
CUST_00195,2432.13,monthly,WALLET,19,5,2,10,19,1
CUST_00196,4461.44,monthly,UPI,27,3,2,14,16,4
CUST_00197,4713.55,biweekly,UPI,23,2,0,15,16,4
CUST_00198,2390.07,weekly,NETBANKING,4,5,1,16,18,2
CUST_00199,4537.97,monthly,NETBANKING,2,3,1,11,15,5
CUST_00200,4850.57,biweekly,UPI,22,1,2,18,15,5
CUST_00201,3106.59,weekly,UPI,26,2,0,10,18,2
CUST_00202,3998.8,weekly,UPI,27,6,2,11,16,4
CUST_00203,3056.0,weekly,NETBANKING,25,1,2,8,16,4
CUST_00204,1603.19,weekly,CARD,18,2,0,9,15,5
CUST_00205,3406.97,weekly,CARD,1,2,0,17,15,5
CUST_00206,1821.73,weekly,NETBANKING,2,1,2,14,18,2
CUST_00207,2772.6,monthly,UPI,16,3,1,16,18,2
CUST_00208,3090.23,biweekly,CARD,20,0,2,20,17,3
CUST_00209,4571.13,monthly,NETBANKING,15,5,0,8,18,2
CUST_00210,4993.36,biweekly,WALLET,22,0,1,19,17,3
CUST_00211,4575.59,weekly,UPI,11,4,0,9,17,3
CUST_00212,893.1,monthly,NETBANKING,13,4,2,12,15,5
CUST_00213,2432.46,monthly,WALLET,4,6,2,9,20,0
CUST_00214,4308.13,monthly,CARD,14,3,0,14,17,3
CUST_00215,1892.98,biweekly,WALLET,14,5,0,13,17,3
CUST_00216,2305.79,monthly,NETBANKING,12,1,2,15,18,2
CUST_00217,615.53,weekly,UPI,14,0,2,19,17,3
CUST_00218,2051.44,weekly,UPI,19,4,2,13,15,5
CUST_00219,3449.06,biweekly,NETBANKING,28,5,1,21,19,1
CUST_00220,4604.47,weekly,NETBANKING,20,2,1,9,19,1
CUST_00221,3016.22,weekly,CARD,22,3,0,21,17,3
CUST_00222,808.63,monthly,NETBANKING,4,6,1,17,16,4
CUST_00223,1362.95,biweekly,UPI,20,5,2,12,16,4
CUST_00224,436.08,biweekly,NETBANKING,11,2,0,10,14,6
CUST_00225,4388.35,monthly,WALLET,3,1,2,18,17,3
CUST_00226,4867.51,weekly,CARD,13,3,1,13,17,3
CUST_00227,1039.82,biweekly,NETBANKING,25,4,2,9,17,3
CUST_00228,4451.71,weekly,CARD,25,4,0,18,17,3
CUST_00229,683.43,biweekly,WALLET,16,4,1,14,14,6
CUST_00230,1583.88,monthly,UPI,12,3,0,12,17,3
CUST_00231,3487.62,monthly,WALLET,17,5,1,8,19,1
CUST_00232,1336.44,monthly,UPI,1,1,1,11,14,6
CUST_00233,3906.54,biweekly,NETBANKING,11,0,0,15,18,2
CUST_00234,3810.97,weekly,CARD,13,4,2,11,16,4
CUST_00235,2651.23,monthly,NETBANKING,3,3,2,8,14,6
CUST_00236,2350.23,biweekly,UPI,28,2,2,14,15,5
CUST_00237,2994.98,monthly,WALLET,10,0,1,8,16,4
CUST_00238,4841.14,weekly,WALLET,27,5,1,9,17,3
CUST_00239,2352.55,weekly,CARD,14,4,1,16,19,1
CUST_00240,669.64,biweekly,NETBANKING,8,2,0,9,16,4
CUST_00241,2699.27,weekly,CARD,25,2,1,19,18,2
CUST_00242,4803.65,monthly,CARD,8,0,0,12,20,0
CUST_00243,1227.18,monthly,CARD,25,6,2,9,17,3
CUST_00244,1132.59,monthly,WALLET,15,6,2,20,20,0
CUST_00245,3023.5,monthly,NETBANKING,28,5,1,10,16,4
CUST_00246,2366.89,biweekly,WALLET,21,2,1,17,16,4
CUST_00247,564.01,monthly,UPI,10,3,1,8,18,2
CUST_00248,567.38,biweekly,UPI,21,6,0,17,18,2
CUST_00249,3092.18,biweekly,WALLET,19,4,2,8,17,3
CUST_00250,2413.75,monthly,CARD,11,4,1,16,19,1
CUST_00251,1009.05,weekly,WALLET,4,6,1,19,19,1
CUST_00252,696.35,monthly,CARD,2,1,2,15,16,4
CUST_00253,4957.63,monthly,CARD,12,2,1,14,14,6
CUST_00254,2221.22,biweekly,UPI,26,5,2,13,16,4
CUST_00255,609.79,weekly,WALLET,10,2,2,21,17,3
CUST_00256,3385.85,monthly,CARD,11,0,2,18,19,1
CUST_00257,964.71,biweekly,NETBANKING,21,5,2,14,16,4
CUST_00258,906.07,monthly,UPI,10,4,1,18,17,3
CUST_00259,4020.81,weekly,UPI,21,5,1,16,16,4
CUST_00260,2000.59,biweekly,NETBANKING,6,1,1,20,18,2
CUST_00261,2585.47,weekly,CARD,5,0,1,21,19,1
CUST_00262,4004.16,monthly,UPI,22,2,2,10,16,4
CUST_00263,3107.06,weekly,CARD,6,6,2,20,20,0
CUST_00264,3236.28,weekly,WALLET,2,3,1,18,16,4
CUST_00265,3682.05,biweekly,NETBANKING,25,5,1,11,17,3
CUST_00266,2809.85,biweekly,WALLET,27,1,1,18,17,3
CUST_00267,4751.51,biweekly,WALLET,25,2,1,16,17,3
CUST_00268,2779.06,weekly,CARD,26,4,0,21,17,3
CUST_00269,1475.02,monthly,WALLET,28,2,2,9,19,1
CUST_00270,3643.58,monthly,UPI,10,0,0,12,16,4
CUST_00271,2411.8,monthly,CARD,27,3,0,11,15,5
CUST_00272,4138.51,biweekly,UPI,14,0,1,16,17,3
CUST_00273,2057.62,biweekly,UPI,12,1,0,13,20,0
CUST_00274,4674.88,monthly,NETBANKING,26,1,0,8,19,1
CUST_00275,1648.33,biweekly,CARD,25,5,1,15,15,5
CUST_00276,3192.14,weekly,UPI,9,1,0,16,16,4
CUST_00277,4719.06,monthly,WALLET,4,6,1,11,15,5
CUST_00278,1715.41,weekly,CARD,14,5,2,15,17,3
CUST_00279,595.19,biweekly,UPI,21,4,2,11,14,6
CUST_00280,3677.16,biweekly,WALLET,1,4,1,11,17,3
CUST_00281,2982.12,weekly,UPI,17,2,0,16,19,1
CUST_00282,2857.19,monthly,UPI,13,6,1,8,19,1
CUST_00283,3287.65,biweekly,NETBANKING,24,0,1,20,15,5
CUST_00284,617.53,weekly,UPI,25,4,2,20,15,5
CUST_00285,1862.84,weekly,NETBANKING,18,2,2,10,15,5
CUST_00286,4202.8,monthly,WALLET,23,3,2,10,13,7
CUST_00287,4114.04,weekly,WALLET,2,2,0,8,16,4
CUST_00288,4018.21,weekly,NETBANKING,10,4,1,21,18,2
CUST_00289,2852.24,biweekly,UPI,25,5,0,12,18,2
CUST_00290,1977.78,weekly,NETBANKING,9,0,1,14,15,5
CUST_00291,4480.59,monthly,WALLET,13,2,0,15,17,3
CUST_00292,3552.72,biweekly,NETBANKING,26,0,2,14,17,3
CUST_00293,670.96,monthly,CARD,18,2,1,9,15,5
CUST_00294,676.32,monthly,NETBANKING,10,3,2,19,19,1
CUST_00295,2302.75,monthly,WALLET,12,3,0,19,17,3
CUST_00296,4389.17,biweekly,WALLET,9,5,0,9,17,3
CUST_00297,3454.56,biweekly,NETBANKING,17,6,2,18,19,1
CUST_00298,1051.94,weekly,CARD,28,4,2,20,18,2
CUST_00299,2359.41,weekly,UPI,8,6,2,13,17,3
CUST_00300,2002.11,monthly,UPI,20,1,2,15,17,3
CUST_00301,4759.47,biweekly,WALLET,25,0,2,10,18,2
CUST_00302,2788.46,biweekly,NETBANKING,21,2,0,9,17,3
CUST_00303,421.79,weekly,WALLET,17,3,2,9,15,5
CUST_00304,1530.35,biweekly,WALLET,7,4,1,19,17,3
CUST_00305,4607.45,biweekly,CARD,4,1,0,15,16,4
CUST_00306,1111.48,monthly,WALLET,3,6,2,21,17,3
CUST_00307,4936.9,monthly,NETBANKING,23,0,2,16,16,4
CUST_00308,1664.7,biweekly,CARD,23,5,2,18,16,4
CUST_00309,1118.23,biweekly,CARD,4,1,0,11,17,3
CUST_00310,4014.75,weekly,NETBANKING,18,4,1,15,17,3
CUST_00311,4077.21,monthly,CARD,20,0,0,12,16,4
CUST_00312,2171.35,monthly,WALLET,17,3,1,21,18,2
CUST_00313,3002.03,weekly,NETBANKING,21,0,1,15,17,3
CUST_00314,3496.51,biweekly,CARD,27,6,2,18,18,2
CUST_00315,3062.59,weekly,WALLET,17,6,0,21,18,2
CUST_00316,883.56,weekly,NETBANKING,6,1,1,19,17,3
CUST_00317,1359.71,monthly,NETBANKING,28,0,1,11,17,3
CUST_00318,3284.77,monthly,NETBANKING,5,5,1,17,19,1
CUST_00319,2807.35,monthly,CARD,19,4,0,10,17,3
CUST_00320,3396.04,monthly,NETBANKING,27,4,0,21,16,4
CUST_00321,4359.77,weekly,UPI,21,6,2,12,16,4
CUST_00322,3360.31,monthly,WALLET,20,5,0,15,16,4
CUST_00323,4478.29,monthly,NETBANKING,21,2,1,11,17,3
CUST_00324,4082.03,monthly,WALLET,10,3,0,19,16,4
CUST_00325,581.59,biweekly,WALLET,16,3,0,13,17,3
CUST_00326,3151.3,biweekly,NETBANKING,24,6,1,14,17,3
CUST_00327,914.6,biweekly,UPI,11,1,1,9,20,0
CUST_00328,1557.12,weekly,CARD,4,0,1,14,17,3
CUST_00329,4361.57,biweekly,CARD,28,1,1,17,16,4
CUST_00330,3689.3,weekly,CARD,16,4,1,15,15,5
CUST_00331,4431.66,biweekly,UPI,3,3,2,15,16,4
CUST_00332,4843.43,weekly,NETBANKING,2,0,1,15,19,1
CUST_00333,3108.34,monthly,WALLET,10,4,0,21,16,4
CUST_00334,805.24,weekly,NETBANKING,24,2,1,13,17,3
CUST_00335,512.64,weekly,CARD,12,4,1,9,16,4
CUST_00336,2115.84,biweekly,NETBANKING,27,4,2,17,16,4
CUST_00337,858.41,weekly,WALLET,12,6,1,16,19,1
CUST_00338,4713.06,weekly,CARD,20,4,1,16,17,3
CUST_00339,489.2,weekly,CARD,23,2,1,16,15,5
CUST_00340,2447.85,monthly,CARD,11,4,1,10,16,4
CUST_00341,2146.89,monthly,NETBANKING,19,2,2,21,14,6
CUST_00342,2695.66,biweekly,NETBANKING,16,6,0,13,14,6
CUST_00343,1856.83,weekly,WALLET,19,2,2,21,19,1
CUST_00344,3533.81,weekly,WALLET,9,5,2,17,19,1
CUST_00345,1369.45,weekly,WALLET,6,4,2,19,17,3
CUST_00346,3212.76,biweekly,CARD,27,5,0,8,18,2
CUST_00347,2991.08,monthly,UPI,7,0,1,13,15,5
CUST_00348,2268.27,biweekly,CARD,14,4,2,15,16,4
CUST_00349,4402.24,monthly,UPI,23,1,2,11,17,3
CUST_00350,2936.17,monthly,WALLET,17,3,1,10,17,3
CUST_00351,2460.42,monthly,NETBANKING,18,2,2,20,20,0
CUST_00352,4377.98,monthly,NETBANKING,20,3,0,11,15,5
CUST_00353,1611.33,biweekly,CARD,10,6,1,19,18,2
CUST_00354,1274.21,monthly,WALLET,11,3,1,16,17,3
CUST_00355,4688.39,monthly,NETBANKING,10,0,2,18,14,6
CUST_00356,2853.0,biweekly,NETBANKING,25,6,0,12,18,2
CUST_00357,497.71,monthly,UPI,12,3,2,12,18,2
CUST_00358,3812.49,weekly,CARD,27,4,1,16,16,4
CUST_00359,3572.01,weekly,UPI,20,5,2,11,13,7
CUST_00360,1439.55,monthly,CARD,21,1,0,9,17,3
CUST_00361,2242.52,monthly,WALLET,4,5,0,8,18,2
CUST_00362,4833.24,weekly,WALLET,21,3,1,18,17,3
CUST_00363,1237.44,biweekly,NETBANKING,10,5,0,20,14,6
CUST_00364,720.47,monthly,CARD,18,5,2,21,17,3
CUST_00365,4702.35,weekly,WALLET,27,1,0,21,19,1
CUST_00366,2165.87,biweekly,CARD,24,6,1,8,18,2
CUST_00367,343.56,monthly,UPI,11,2,1,18,18,2
CUST_00368,2853.51,biweekly,CARD,28,4,1,12,18,2
CUST_00369,1206.21,weekly,NETBANKING,6,5,1,18,17,3
CUST_00370,1509.14,weekly,UPI,24,2,1,17,16,4
CUST_00371,3469.69,weekly,CARD,20,6,2,14,18,2
CUST_00372,4186.85,monthly,NETBANKING,3,3,2,9,18,2
CUST_00373,1168.47,weekly,WALLET,11,1,0,12,20,0
CUST_00374,2102.8,biweekly,NETBANKING,11,2,2,19,19,1
CUST_00375,2992.52,biweekly,NETBANKING,23,1,0,18,16,4
CUST_00376,855.66,biweekly,CARD,13,5,2,19,18,2
CUST_00377,3918.25,monthly,UPI,21,2,1,17,15,5
CUST_00378,1337.99,weekly,WALLET,5,3,2,17,17,3
CUST_00379,2056.04,monthly,WALLET,25,4,2,21,20,0
CUST_00380,1326.53,weekly,UPI,17,3,2,19,15,5
CUST_00381,2000.39,monthly,UPI,2,6,2,16,13,7
CUST_00382,1250.14,monthly,CARD,6,2,2,15,15,5
CUST_00383,846.33,weekly,WALLET,3,4,1,20,16,4
CUST_00384,561.49,weekly,WALLET,15,4,0,16,19,1
CUST_00385,2473.18,biweekly,UPI,13,2,0,19,17,3
CUST_00386,1324.14,weekly,UPI,14,2,2,9,18,2
CUST_00387,2843.47,weekly,UPI,16,0,1,14,17,3
CUST_00388,1145.91,weekly,WALLET,12,3,1,21,18,2
CUST_00389,4610.44,biweekly,WALLET,3,5,2,21,18,2
CUST_00390,2834.71,monthly,NETBANKING,4,1,2,14,18,2
CUST_00391,2785.56,monthly,CARD,27,0,0,12,15,5
CUST_00392,2476.12,monthly,WALLET,18,3,0,11,20,0
CUST_00393,2464.94,weekly,NETBANKING,7,5,0,8,15,5
CUST_00394,4104.55,biweekly,UPI,8,1,0,9,13,7
CUST_00395,3091.54,biweekly,UPI,8,5,0,14,19,1
CUST_00396,2363.13,monthly,CARD,25,6,0,10,16,4
CUST_00397,2668.31,biweekly,CARD,27,5,2,13,18,2
CUST_00398,3014.13,monthly,NETBANKING,8,2,0,18,16,4
CUST_00399,2749.88,biweekly,NETBANKING,9,0,2,17,19,1
CUST_00400,4434.66,weekly,WALLET,18,3,0,13,16,4
CUST_00401,4725.46,monthly,WALLET,26,4,1,19,20,0
CUST_00402,2256.73,weekly,NETBANKING,13,1,2,15,17,3
CUST_00403,1432.55,weekly,NETBANKING,28,5,0,20,18,2
CUST_00404,2476.22,weekly,WALLET,14,4,2,10,20,0
CUST_00405,2125.57,biweekly,CARD,11,5,0,15,16,4
CUST_00406,4281.53,weekly,CARD,2,2,1,18,18,2
CUST_00407,3143.36,weekly,UPI,7,6,2,19,16,4
CUST_00408,3455.82,weekly,WALLET,7,6,1,12,17,3
CUST_00409,4797.99,weekly,CARD,7,5,0,19,18,2
CUST_00410,4997.99,biweekly,CARD,23,4,2,11,15,5
CUST_00411,2164.17,weekly,NETBANKING,25,2,1,15,19,1
CUST_00412,2808.16,biweekly,NETBANKING,9,2,2,15,16,4
CUST_00413,2490.22,monthly,WALLET,25,6,1,11,18,2
CUST_00414,2042.31,biweekly,UPI,19,6,0,19,17,3
CUST_00415,985.84,biweekly,WALLET,10,1,0,13,16,4
CUST_00416,1381.09,monthly,CARD,16,4,2,18,14,6
CUST_00417,1886.55,biweekly,WALLET,15,1,2,20,16,4
