payment_id,amount,failure_reason,baseline_recovered,baseline_action,baseline_timing,baseline_attempts,recoup_recovered,recoup_action,recoup_timing,recoup_attempts
PAY_005513,2564.83,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_015571,2255.53,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_011309,3667.7,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_012406,994.51,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_002054,1371.73,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_018683,1031.2,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_019320,467.99,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_001406,2944.97,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_000717,5094.47,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_004220,3843.43,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_005609,2588.89,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,False,NUDGE,1,1
PAY_018514,4480.11,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_008540,1334.21,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_006553,1285.45,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_018015,3931.54,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_009249,2512.6,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_014087,738.96,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_007842,2165.38,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_002410,2559.64,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_004758,5465.71,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_012920,4177.83,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_013949,3704.65,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_017977,5128.63,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_011984,951.67,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_017159,3182.58,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_012681,1356.12,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_008878,2321.22,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_018652,5309.75,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_015677,4083.69,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_017064,789.25,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_016994,2630.5,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_007901,2072.28,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_008361,2278.25,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_000040,873.77,UNKNOWN,True,SMART_RETRY,25,2,False,PAYMENT_LINK,1,1
PAY_014910,3588.88,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_011069,1484.21,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_008306,1245.86,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_015374,1221.88,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_004908,2361.41,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_017966,5200.92,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_011459,5180.32,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_005424,3540.96,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_003693,2141.09,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_015078,710.89,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,24,1
PAY_008183,5014.38,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_010959,1466.15,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_008998,3788.03,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_011159,2729.01,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_008494,2405.23,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_013839,2540.27,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_008302,1438.33,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,24,1
PAY_003612,4461.01,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_008624,1638.22,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,False,NUDGE,1,1
PAY_009098,4476.6,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_001989,5195.66,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_011731,4920.31,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_010035,4853.89,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_005566,557.26,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_014652,2201.91,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_014225,1067.23,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_000088,4092.14,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_011848,1742.07,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_001362,1923.94,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_007036,4491.17,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_005390,4365.0,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_015588,2007.95,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_010560,2308.77,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_003405,4460.63,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_013958,3739.25,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_016360,2586.38,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_011861,270.24,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_017831,3976.45,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_009514,3013.34,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_011809,791.45,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_016085,3814.5,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_003168,351.58,BANK_ERROR,False,STOP,0,2,True,SMART_RETRY,24,1
PAY_001143,1426.5,BANK_ERROR,True,SMART_RETRY,25,2,True,SMART_RETRY,24,1
PAY_017597,3459.93,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_015687,1536.06,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_018870,1181.78,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_007178,3664.05,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_017325,4137.93,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_000832,630.68,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_009126,1896.49,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_018095,3509.53,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_010891,673.29,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_013896,659.34,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_009678,850.11,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_007692,2689.68,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_019502,4336.97,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_007657,1004.79,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_009043,1037.94,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_010870,4170.34,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_005490,1569.17,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_000679,4300.93,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_006202,4712.39,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_006355,3157.48,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_008402,3182.41,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_009614,1750.37,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_012581,2191.74,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_005647,2887.77,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_006191,3318.99,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_012842,2924.47,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_001154,1244.59,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,24,1
PAY_010471,3808.97,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_003151,3886.67,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_004540,1215.02,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_018927,2843.13,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_006838,2932.4,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_011262,3505.03,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_009158,3131.37,BANK_ERROR,False,STOP,0,2,True,SMART_RETRY,24,1
PAY_005063,2665.17,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_000743,2473.36,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,False,NUDGE,48,1
PAY_011268,3151.69,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,24,1
PAY_005034,747.61,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_004606,3579.09,BANK_ERROR,False,STOP,0,2,True,SMART_RETRY,24,1
PAY_006587,4042.99,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_004439,890.62,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_016727,3828.33,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_018002,4221.55,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_015191,4091.9,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_009768,3296.71,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_002950,3405.75,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_006896,1203.14,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_005847,699.01,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_009894,3958.83,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_001208,3671.02,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,False,NUDGE,24,1
PAY_010043,3331.66,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_008450,2127.4,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_001258,2069.71,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_003695,2050.97,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_011700,632.6,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_004229,984.17,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_015039,1096.98,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_015718,2913.77,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_010168,1651.11,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_001097,3644.46,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_014852,1431.34,MANDATE_FAILURE,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_004275,3740.85,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_018359,573.93,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_018748,1765.71,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,False,NUDGE,1,1
PAY_000348,1526.74,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_015205,3919.99,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_011638,4122.78,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,False,NUDGE,1,1
PAY_015004,935.16,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_011975,1700.78,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_018792,3769.68,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_007194,1527.0,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_017188,1543.69,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_003770,836.4,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_009186,2001.65,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,24,1
PAY_000147,2779.99,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_001358,1544.52,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_007624,1083.0,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,24,1
PAY_018182,340.26,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_017099,1980.72,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_002652,3659.87,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_001548,3462.07,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_006935,3110.13,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_018755,1733.75,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_013793,2888.15,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,48,1
PAY_007247,1114.19,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_017085,2100.88,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_005703,4545.14,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_009456,4162.34,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_005852,769.49,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_016318,752.0,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_007777,4548.28,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,False,NUDGE,1,1
PAY_007537,3439.84,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_019726,620.05,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_019818,4333.1,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_003127,1285.3,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,24,1
PAY_003369,652.58,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_019645,507.69,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_003913,5327.44,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_002987,2087.43,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_008288,882.61,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_015086,3883.38,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_000306,5140.5,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_014453,1224.86,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_016488,1264.62,INSUFFICIENT_FUNDS,False,STOP,0,2,True,NUDGE,1,1
PAY_008345,2031.38,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_014810,4110.15,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_018551,1985.5,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,False,NUDGE,1,1
PAY_004488,4607.1,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_007862,4630.11,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_010178,1974.7,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_006774,566.33,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_001952,1241.17,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_009588,3923.8,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_003825,5306.56,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_017940,3019.81,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_013810,563.27,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_005969,2211.19,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_014641,2487.24,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_002057,1454.8,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_002875,397.14,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_015242,4963.53,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_016760,4061.56,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,False,NUDGE,1,1
PAY_012511,776.9,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_000338,2250.94,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_002038,4186.23,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_017622,5120.34,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_012480,4141.28,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_008295,879.2,INSUFFICIENT_FUNDS,True,SMART_RETRY,1,1,True,NUDGE,1,1
PAY_017391,455.87,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_003783,1880.48,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,24,1
PAY_010827,4496.12,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_007271,609.93,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_006622,5110.69,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_008627,1286.33,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_005712,4635.2,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,24,1
PAY_007177,2873.62,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_008680,4983.03,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,1,1
PAY_014278,1530.89,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_015289,3251.03,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_019072,5356.73,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,False,NUDGE,1,1
PAY_011415,2066.66,INSUFFICIENT_FUNDS,False,STOP,0,2,False,NUDGE,1,1
PAY_002325,1487.0,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_016682,4267.46,UNKNOWN,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_001195,1922.51,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_016028,850.66,MANDATE_FAILURE,False,STOP,0,2,False,PAYMENT_LINK,1,1
PAY_015672,4305.03,INSUFFICIENT_FUNDS,True,SMART_RETRY,25,2,True,NUDGE,1,1
PAY_006810,2282.73,BANK_ERROR,True,SMART_RETRY,1,1,True,SMART_RETRY,1,1
PAY_015397,5082.58,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_003528,5172.25,MANDATE_FAILURE,False,STOP,0,2,True,PAYMENT_LINK,24,1
PAY_010972,3650.47,BANK_ERROR,True,SMART_RETRY,1,1,False,SMART_RETRY,48,1
PAY_006558,1792.89,UNKNOWN,True,SMART_RETRY,1,1,False,PAYMENT_LINK,1,1
PAY_001944,933.97,BANK_ERROR,False,STOP,0,2,False,SMART_RETRY,1,1
PAY_016050,3547.86,UNKNOWN,False,STOP,0,2,True,PAYMENT_LINK,1,1
